,index,County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
25,8,Chaffee,8310.9,3902.5,2024.7,1338.2,22.9,10.8,818.7,81.3,84.1,27.7,8.0,15.0,2019.0,19379.0,8015.0,4.013,1.55,38.738246,-106.316972,53.223717948718,33.8980769230769,43.3294871794872,43.6032051282051,6.7575641025641,33.3871794871795,247.026282051282,18.7461538461538,7.89102564102564
26,45,Otero,7708.2,6127.6,406.0,870.6,0.0,0.0,237.1,0.6,36.6,30.0,8.0,89.0,2019.0,18304.0,8089.0,20.052,7.742,37.88417,-103.72126,70.9891025641026,37.6423076923077,53.6634615384615,52.1217948717949,2.85801282051282,9.52692307692308,220.590384615385,17.6929487179487,7.20512820512821
27,49,Pitkin,7347.3,3903.6,479.1,2677.5,4.6,0.0,214.1,2.4,45.2,22.4,8.0,97.0,2019.0,17890.5,8097.0,6.469,2.498,39.217533,-106.915943,57.3108974358974,30.8153846153846,43.6,51.324358974359,4.64762820512821,33.1788461538462,239.626923076923,17.1038461538462,7.01282051282051
28,47,Park,7036.8,2804.7,2064.0,744.9,0.0,3.2,1227.1,18.0,175.7,0.0,8.0,93.0,2019.0,17626.0,8093.0,43.531,16.807,39.118914,-105.717648,45.9134615384615,28.8602564102564,36.575,49.2692307692308,7.47878205128205,34.4596153846154,216.178205128205,16.8429487179487,7.46153846153846
29,26,Gunnison,6692.5,2998.3,763.1,1868.8,16.6,36.6,901.0,48.8,44.1,15.2,8.0,51.0,2019.0,16668.25,8051.0,53.172,20.53,38.669679,-107.078108,56.4378205128205,26.7910256410256,41.2852564102564,55.292307692307695,7.37179487179487,26.1660256410256,235.130769230769,15.8666666666667,6.66025641025641
30,1,Alamosa,6180.1,2983.0,788.7,1650.8,39.8,2.2,506.3,27.2,124.4,58.2,8.0,3.0,2019.0,16262.25,8003.0,1.808,0.698,37.568442,-105.788041,61.4833333333333,27.6532051282051,44.25705128205129,51.4961538461538,4.16653846153846,19.875,306.921794871795,18.8474358974359,7.46153846153846
31,25,Grand,6028.2,2669.3,636.1,2055.4,2.4,17.7,579.1,6.4,57.8,5.5,8.0,49.0,2019.0,15174.5,8049.0,60.25,23.263,40.123289,-106.095876,50.6358974358974,24.7108974358974,37.1147435897436,59.2089743589744,8.49358974358974,33.0391025641026,213.569871794872,16.4519230769231,6.94871794871795
32,36,Las Animas,6629.1,3382.7,1473.0,957.3,5.5,5.5,687.1,36.7,56.0,25.3,8.0,71.0,2019.0,14229.75,8071.0,6.93,2.676,37.318831,-104.04411,69.0339743589744,39.1826923076923,53.3737179487179,45.4442307692308,5.87615384615385,17.800641025641,280.083974358974,18.5096153846154,7.51282051282051
33,41,Moffat,5249.3,3338.9,651.6,841.4,0.0,50.5,241.6,18.5,81.9,24.9,8.0,81.0,2019.0,13098.25,8081.0,19.742,7.622,40.573984,-108.204521,59.375,29.5974358974359,44.3224358974359,53.9564102564103,5.50217948717949,26.7596153846154,278.592948717949,18.0608974358974,7.37179487179487
34,3,Archuleta,5741.1,2409.3,1686.5,597.0,0.0,55.2,849.8,58.6,69.4,15.3,8.0,7.0,2019.0,13085.25,8007.0,13.828,5.339,37.202395,-107.050863,59.4903846153846,32.6288461538462,45.6076923076923,54.2878205128205,6.19666666666667,27.4096153846154,218.167307692308,17.6352564102564,7.03846153846154
35,50,Prowers,4910.3,3841.6,372.6,548.6,17.8,0.0,60.7,0.0,25.9,43.1,8.0,99.0,2019.0,12048.25,8099.0,15.353,5.928,37.958181,-102.392161,71.024358974359,38.9474358974359,54.423717948718,52.2032051282051,3.89955128205128,19.1782051282051,236.626923076923,17.3294871794872,7.19230769230769
