,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County,Estimate!!Total:,Estimate!!Total:!!Utility gas,"Estimate!!Total:!!Bottled, tank, or LP gas",Estimate!!Total:!!Electricity,"Estimate!!Total:!!Fuel oil, kerosene, etc.",Estimate!!Total:!!Coal or coke,Estimate!!Total:!!Wood,Estimate!!Total:!!Solar energy,Estimate!!Total:!!Other fuel,Estimate!!Total:!!No fuel used,State,County Number,State.1,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
,Weld,104671,77851,7643,16449,180,17,1101,387,732,311,8,123,,8123,Greeley,"252,825","10,326.90","3,987.24",76.554,29.558,"10,403.45","4,016.80",40.555794,-104.383649,65.50897435897440,35.312820512820500,49.631410256410300,55.41089743589740,4.487307692307690,21.296794871794900,237.36666666666700,17.240384615384600,7.032051282051280
,Custer,2214,52,1204,326,0,7,545,56,24,0,8,27,,8027,Westcliffe,"4,255","1,913.03",738.625,3.365,1.299,"1,916.40",739.924,38.101994,-105.373515,61.407051282051300,34.64230769230770,47.09615384615390,47.57115384615390,5.74275641025641,21.39294871794870,256.41410256410300,15.962179487179500,7.397435897435900
,Costilla,1746,101,833,181,78,0,446,6,101,0,8,23,,8023,San Luis,"3,524","3,177.79","1,226.95",8.829,3.409,"3,186.62","1,230.36",37.277547,-105.42894,57.08141025641030,28.64679487179490,42.11987179487180,51.46217948717950,4.166602564102560,22.65128205128210,241.58910256410300,16.05320512820510,7.653846153846150
,Douglas,120709,93056,3451,23004,27,0,431,275,285,180,8,35,,8035,Castle Rock,"285,465","2,176.23",840.248,6.789,2.621,"2,183.02",842.869,39.326435,-104.926199,62.60961538461540,37.6775641025641,49.63846153846150,45.51602564102560,6.009743589743590,39.205128205128200,277.97051282051300,17.287820512820500,7.019230769230770
,Lake,3392,1872,476,621,74,5,282,0,62,0,8,65,,8065,Durango,"7,310",976.194,376.911,18.124,6.998,994.319,383.909,39.204316,-106.349696,49.30769230769230,23.037820512820500,36.260897435897400,53.86153846153850,5.84948717948718,37.10705128205130,202.5352564102560,16.230128205128200,6.8076923076923100
,La Plata,21794,10472,5170,3539,21,119,1978,243,193,59,8,67,,8067,Leadville,"51,334","4,382.46","1,692.08",19.76,7.629,"4,402.22","1,699.71",37.287367,-107.839718,64.01666666666670,34.40256410256410,49.08653846153850,49.795512820512800,3.9798717948717900,20.798076923076900,227.53589743589700,17.965384615384600,7.621794871794870
,Pitkin,7467,4019,445,2728,0,0,217,0,35,23,8,97,,8097,Aspen,"17,148","2,514.09",970.697,6.469,2.498,"2,520.56",973.195,39.217533,-106.915943,57.31089743589740,30.815384615384600,43.6,51.32435897435900,4.647628205128210,33.17884615384620,239.6269230769230,17.103846153846200,7.012820512820510
,Rio Grande,4823,1888,879,951,19,0,930,74,75,7,8,105,,8105,Del Norte,"11,982","2,361.96",911.958,0.984,0.38,"2,362.94",912.338,37.485763,-106.453214,52.12564102564100,29.773076923076900,40.18205128205130,51.57371794871800,7.2114102564102600,27.621794871794900,264.59423076923100,16.889743589743600,7.378205128205130
,Bent,1767,1244,312,133,0,10,56,0,12,0,8,11,,8011,Las Animas,"6,499","3,918.29","1,512.86",73.094,28.222,"3,991.39","1,541.08",37.931891,-103.077584,71.05064102564100,39.864102564102600,54.68974358974360,50.27628205128210,4.033205128205130,17.592307692307700,241.38589743589700,17.306410256410300,7.211538461538460
,Crowley,1301,859,195,138,0,0,105,0,0,4,8,25,,8025,Ordway,"5,823","2,039.41",787.421,33.43,12.908,"2,072.84",800.329,38.321956,-103.787562,70.74935897435900,40.27756410256410,54.63653846153850,48.31666666666670,4.888076923076920,16.008333333333300,250.95833333333300,16.68846153846150,6.967948717948720
,San Juan,289,33,150,42,0,13,49,0,2,0,8,111,,8111,Silverton,699,"1,003.59",387.488,2.036,0.786,"1,005.62",388.274,37.781075,-107.670257,55.367948717948700,35.51474358974360,44.975641025641000,45.78589743589740,3.899551282051280,33.885897435897400,263.9365384615390,16.121153846153800,7.096153846153850
,Larimer,137021,98693,5976,29085,97,30,1779,326,668,367,8,69,,8069,Fort Collins,"299,630","6,723.61","2,596.00",98.295,37.952,"6,821.91","2,633.95",40.663091,-105.482131,63.6301282051282,37.06794871794870,49.83653846153850,54.3775641025641,9.107948717948720,20.01410256410260,226.27179487179500,15.035897435897400,6.532051282051280
,Logan,8393,4956,1229,2041,4,0,109,0,51,3,8,75,,8075,Sterling,"22,709","4,761.81","1,838.55",16.364,6.318,"4,778.18","1,844.87",40.728091,-103.090464,65.63397435897440,35.59102564102560,49.93333333333330,58.8724358974359,2.697628205128210,22.775641025641000,234.02628205128200,16.613461538461500,6.6923076923076900
,San Miguel,3552,1654,504,1026,18,0,302,37,0,11,8,113,,8113,Telluride,"7,359","3,332.31","1,286.61",5.214,2.013,"3,337.52","1,288.62",38.009374,-108.427326,58.619230769230800,37.06089743589740,47.36987179487180,45.09679487179490,4.914551282051280,29.47820512820510,291.1051282051280,17.96474358974360,7.506410256410260
,Teller,10248,5424,1980,1273,4,0,1404,26,78,59,8,119,,8119,Cripple Creek,"23,350","1,442.77",557.055,4.945,1.909,"1,447.71",558.964,38.871994,-105.182552,63.295512820512800,38.132051282051300,50.39038461538460,45.08717948717950,6.650769230769230,37.49487179487180,268.96987179487200,16.28205128205130,7.141025641025640
,Elbert,9280,3484,4055,1000,5,0,461,12,213,50,8,39,,8039,Colorado Springs,"23,086","4,793.67","1,850.85",0.442,0.171,"4,794.11","1,851.02",39.310817,-104.117928,62.84487179487180,34.50512820512820,48.110897435897400,49.526923076923100,5.5554487179487200,23.60320512820510,289.399358974359,17.157692307692300,7.076923076923080
,Las Animas,6670,3435,1478,962,5,8,676,15,57,34,8,71,,8071,Trinidad,"15,507","12,361.16","4,772.67",6.93,2.676,"12,368.09","4,775.35",37.318831,-104.04411,69.03397435897440,39.18269230769230,53.373717948717900,45.44423076923080,5.876153846153850,17.800641025641000,280.08397435897400,18.509615384615400,7.512820512820510
,Lincoln,1518,875,360,215,3,0,37,0,22,6,8,73,,8073,Hugo,"5,467","6,676.02","2,577.63",22.781,8.796,"6,698.80","2,586.42",38.99374,-103.507555,65.07307692307690,33.340384615384600,48.73653846153850,52.30448717948720,4.594102564102560,22.90897435897440,281.0455128205130,16.847435897435900,6.935897435897440
,Summit,10641,5120,198,4830,34,0,333,22,51,53,8,117,,8117,Breckenridge,"27,994","1,575.64",608.358,28.283,10.92,"1,603.92",619.278,39.621023,-106.137555,42.78846153846150,29.140384615384600,35.57307692307690,50.0224358974359,9.748974358974360,42.20641025641030,220.1814102564100,17.45448717948720,7.391025641025640
,Alamosa,6162,3086,767,1628,34,2,458,28,113,46,8,3,,8003,Alamosa,"15,445","1,871.64",722.643,1.808,0.698,"1,873.45",723.341,37.568442,-105.788041,61.483333333333300,27.653205128205100,44.257051282051300,51.496153846153800,4.166538461538460,19.875,306.9217948717950,18.847435897435900,7.461538461538460
,Delta,11883,6032,1806,2389,27,162,1183,78,173,33,8,29,,8029,Delta,"30,952","2,957.90","1,142.05",16.961,6.549,"2,974.86","1,148.60",38.861756,-107.864757,67.64615384615380,40.28782051282050,53.5025641025641,43.34102564102560,4.460512820512820,19.722435897435900,267.9083333333330,17.26025641025640,7.314102564102560
,Fremont,17136,11548,2119,1960,5,5,1290,26,130,53,8,43,,8043,Cañon City,"46,824","3,970.63","1,533.07",2.235,0.863,"3,972.86","1,533.93",38.455658,-105.421438,63.52307692307690,39.119230769230800,50.81089743589740,43.92692307692310,7.078205128205130,36.24230769230770,295.7967948717950,18.06025641025640,7.493589743589740
,Montrose,17140,10582,2055,2560,51,60,1490,58,175,109,8,85,,8085,Montrose,"41,276","5,803.37","2,240.70",4.923,1.901,"5,808.30","2,242.60",38.413427,-108.263042,64.55897435897440,39.101282051282100,51.425000000000000,45.63012820512820,5.074871794871800,21.547435897435900,262.18397435897400,17.769871794871800,7.551282051282050
,Morgan,10928,5358,1664,3563,12,0,236,13,79,3,8,87,,8087,Fort Morgan,"28,159","3,316.31","1,280.43",34.474,13.31,"3,350.78","1,293.74",40.262354,-103.807092,65.88076923076920,36.340384615384600,50.534615384615400,52.169230769230800,3.4723717948718000,22.375641025641000,224.6948717948720,17.218589743589700,6.948717948717950
,Saguache,2860,690,985,358,17,13,674,37,52,34,8,109,,8109,Saguache,"6,108","8,206.44","3,168.53",4.455,1.72,"8,210.90","3,170.25",38.033952,-106.246675,59.42371794871800,31.671794871794900,44.84679487179490,48.59935897435900,2.7243589743589700,22.368589743589700,307.7967948717950,19.039743589743600,7.846153846153850
,Prowers,4888,3871,361,522,19,0,58,0,32,25,8,99,,8099,Lamar,"12,551","4,243.42","1,638.40",15.353,5.928,"4,258.78","1,644.32",37.958181,-102.392161,71.02435897435900,38.9474358974359,54.42371794871800,52.20320512820510,3.8995512820512800,19.17820512820510,236.6269230769230,17.32948717948720,7.1923076923076900
,Washington,2087,799,722,467,3,0,50,0,29,17,8,121,,8121,Akron,"4,814","6,521.67","2,518.03",15.207,5.872,"6,536.88","2,523.90",39.965413,-103.209605,64.93589743589740,37.96730769230770,50.93076923076920,52.98397435897440,2.350576923076920,22.298076923076900,219.22115384615400,16.534615384615400,6.455128205128210
,Grand,5884,2572,669,2075,0,25,477,0,61,5,8,49,,8049,Hot Sulphur Springs,"14,843","4,781.97","1,846.33",60.25,23.263,"4,842.22","1,869.59",40.123289,-106.095876,50.635897435897400,24.710897435897400,37.11474358974360,59.20897435897440,8.493589743589740,33.03910256410260,213.5698717948720,16.451923076923100,6.948717948717950
,Otero,7722,6186,424,852,0,0,183,0,39,38,8,89,,8089,La Junta,"18,831","3,268.47","1,261.96",20.052,7.742,"3,288.52","1,269.70",37.88417,-103.72126,70.98910256410260,37.64230769230770,53.66346153846150,52.12179487179490,2.858012820512820,9.526923076923080,220.5903846153850,17.692948717948700,7.205128205128210
,Broomfield,27470,20020,459,6577,0,0,44,79,230,61,8,14,,8014,Broomfield,"55,889",85.558,33.034,1.466,0.566,87.024,33.6,39.953383,-105.052125,65.87820512820510,40.27628205128210,52.743589743589700,47.24871794871800,5.1816025641025600,24.45705128205130,170.99166666666700,14.496153846153800,6.576923076923080
,Hinsdale,377,18,163,69,0,2,123,0,2,0,8,53,,8053,Lake City,843,"2,893.67","1,117.25",15.325,5.917,"2,908.99","1,123.17",37.811625,-107.383405,52.532051282051300,33.76474358974360,42.65128205128210,48.58974358974360,7.451730769230770,33.891666666666700,253.81474358974400,15.962179487179500,7.17948717948718
,Dolores,759,225,299,88,0,0,136,0,11,0,8,33,,8033,Dove Creek,"2,064","2,763.65","1,067.05",2.716,1.049,"2,766.37","1,068.10",37.747602,-108.530383,60.48397435897440,36.662179487179500,48.24166666666670,46.079487179487200,3.6326282051282100,25.5525641025641,277.4314102564100,19.758333333333300,7.852564102564100
,Jackson,558,140,69,168,0,0,181,0,0,0,8,57,,8057,Walden,"1,394","4,179.52","1,613.72",18.75,7.239,"4,198.27","1,620.96",40.663432,-106.329248,52.47179487179490,24.812179487179500,38.85,54.993589743589700,3.926282051282050,30.690384615384600,249.0326923076920,17.261538461538500,7.230769230769230
,Montezuma,10655,3910,3122,1661,55,69,1678,0,158,2,8,83,,8083,Cortez,"25,535","5,256.45","2,029.53",27.517,10.624,"5,283.97","2,040.15",37.338025,-108.595786,66.15192307692310,35.18333333333330,50.636538461538500,48.65833333333330,1.9766025641025600,18.4275641025641,237.9096153846150,16.68653846153850,7.3076923076923100
,Boulder,127415,91532,3698,29079,109,0,1225,635,642,495,8,13,,8013,Boulder,"294,567","1,881.08",726.289,36.469,14.081,"1,917.55",740.37,40.094826,-105.398382,59.751282051282100,35.92371794871800,47.41602564102560,55.460256410256400,9.081410256410260,19.483974358974400,197.99358974359000,14.869230769230800,6.378205128205130
,Yuma,4028,2218,1048,635,3,0,56,0,43,25,8,125,,8125,Wray,"10,043","6,123.78","2,364.41",11.135,4.299,"6,134.92","2,368.70",40.000631,-102.422649,67.98974358974360,38.529487179487200,52.407051282051300,55.3698717948718,3.258717948717950,23.47692307692310,203.90897435897400,16.691666666666700,6.583333333333330
,Routt,9603,4355,1425,2841,0,23,851,0,108,0,8,107,,8107,Steamboat Springs,"23,509","6,117.62","2,362.03",15.826,6.11,"6,133.45","2,368.14",40.48316,-106.985289,56.08910256410260,29.435897435897400,42.48653846153850,59.06217948717950,5.608910256410260,32.12948717948720,281.3121794871800,18.37371794871800,7.153846153846150
,Clear Creek,4395,2248,806,755,14,0,428,75,57,12,8,19,,8019,Georgetown,"9,088","1,023.63",395.227,3.28,1.266,"1,026.91",396.493,39.689403,-105.670791,37.61153846153850,23.753205128205100,30.276923076923100,54.05320512820510,8.627243589743590,39.74487179487180,274.1230769230770,23.684615384615400,7.198717948717950
,Pueblo,64314,48589,2747,10954,39,0,1119,52,585,229,8,101,,8101,Pueblo,"159,063","6,179.98","2,386.10",30.28,11.691,"6,210.26","2,397.80",38.170658,-104.489893,70.2775641025641,38.39423076923080,53.89038461538460,46.825641025641000,4.060128205128210,18.099358974359000,259.02564102564100,16.781410256410300,6.923076923076920
,Park,6931,2751,2094,734,0,0,1173,28,151,0,8,93,,8093,Fairplay,"16,206","5,682.03","2,193.85",43.531,16.807,"5,725.57","2,210.65",39.118914,-105.717648,45.91346153846150,28.860256410256400,36.575000000000000,49.26923076923080,7.478782051282050,34.45961538461540,216.17820512820500,16.84294871794870,7.461538461538460
,Mesa,61742,46784,2299,9926,12,43,1747,252,530,149,8,77,,8077,Grand Junction,"146,723","8,622.00","3,328.97",31.467,12.149,"8,653.47","3,341.12",39.019492,-108.461837,67.44871794871790,42.48717948717950,54.608333333333300,41.6775641025641,2.6978846153846200,18.25897435897440,287.09358974359000,18.01794871794870,7.108974358974360
,El Paso,257507,184131,9537,59724,181,41,1594,219,1127,953,8,41,,8041,Kiowa,"622,263","5,508.39","2,126.80",7.112,2.746,"5,515.50","2,129.55",38.827383,-104.527472,64.78397435897440,38.39807692307690,51.20705128205130,45.360897435897400,5.689230769230770,43.44166666666670,222.88782051282100,13.603846153846200,5.980769230769230
,Arapahoe,240304,166917,3211,66909,198,94,571,553,877,974,8,5,,8005,Littleton,"572,003","2,067.07",798.1,19.004,7.337,"2,086.07",805.437,39.644632,-104.331733,65.78653846153850,39.827564102564100,52.12371794871800,46.57628205128210,5.128076923076920,51.72179487179490,250.1596153846150,14.717307692307700,6.25
,Chaffee,8231,3889,2025,1231,19,14,840,91,91,31,8,15,,8015,Salida,"17,809","2,624.70","1,013.40",4.013,1.55,"2,628.72","1,014.95",38.738246,-106.316972,53.22371794871800,33.89807692307690,43.329487179487200,43.60320512820510,6.757564102564100,33.38717948717950,247.02628205128200,18.746153846153800,7.891025641025640
,Garfield,21498,13979,1437,4777,10,33,943,85,180,54,8,45,,8045,Glenwood Springs,"56,389","7,634.15","2,947.56",21.431,8.274,"7,655.58","2,955.84",39.599352,-107.90978,64.31217948717950,35.717948717948700,49.457692307692300,48.72115384615390,4.193653846153850,23.65448717948720,243.29166666666700,17.261538461538500,7.487179487179490
,Jefferson,232284,172547,5117,48865,180,15,2174,848,1400,1138,8,59,,8059,Golden,"534,543","1,979.29",764.208,25.446,9.825,"2,004.74",774.033,39.58646,-105.245601,65.175,39.973076923076900,52.10448717948720,45.830128205128200,5.528782051282050,45.32435897435900,220.96858974359000,13.870512820512800,5.788461538461540
,Rio Blanco,2301,1353,238,509,0,0,162,0,23,16,8,103,,8103,Meeker,"6,666","8,342.18","3,220.93",4.868,1.88,"8,347.05","3,222.81",39.972606,-108.200685,60.325,30.682692307692300,45.39358974358970,51.976282051282100,4.246923076923080,25.394871794871800,274.30128205128200,18.144871794871800,7.397435897435900
,Conejos,3183,1308,475,295,22,8,1020,12,33,10,8,21,,8021,Conejos,"8,256","3,334.33","1,287.39",9.235,3.566,"3,343.56","1,290.96",37.213407,-106.176447,57.44102564102560,28.362820512820500,42.467948717948700,51.294230769230800,6.303397435897440,23.125,271.2083333333330,16.589102564102600,7.1923076923076900
,Adams,166450,121111,2294,40776,121,15,393,386,718,636,8,1,,8001,Brighton,"441,603","3,024.21","1,167.65",42.07,16.243,"3,066.28","1,183.90",39.874325,-104.331872,65.98653846153850,39.743589743589700,52.21666666666670,46.73461538461540,5.128076923076920,51.708333333333300,267.44679487179500,15.969230769230800,7.044871794871800
,Eagle,18171,11534,786,5165,0,0,373,71,217,25,8,37,,8037,Eagle,"52,197","4,362.91","1,684.53",18.806,7.261,"4,381.72","1,691.79",39.630638,-106.692944,58.20128205128210,31.227564102564100,44.175000000000000,51.85705128205130,7.185128205128210,31.73589743589740,246.4673076923080,16.257692307692300,6.961538461538460
,Moffat,5366,3403,659,896,0,34,259,15,68,32,8,81,,8081,Craig,"13,795","12,285.07","4,743.29",19.742,7.622,"12,304.81","4,750.91",40.573984,-108.204521,59.375,29.597435897435900,44.3224358974359,53.95641025641030,5.502179487179490,26.759615384615400,278.59294871794900,18.060897435897400,7.371794871794870
,Cheyenne,774,396,253,101,5,0,10,0,9,0,8,17,,8017,Cheyenne Wells,"1,836","4,605.71","1,778.28",8.166,3.153,"4,613.88","1,781.43",38.835387,-102.604585,67.85384615384620,38.93653846153850,52.74807692307690,52.577564102564100,2.670897435897440,21.518589743589700,205.86602564102600,17.057051282051300,6.967948717948720
