County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
Bent,1767,1244,312,133,0,10,56,0,12,0,8,11,2019,5787,8011,Las Animas,"6,499","3,918.29","1,512.86",73.094,28.222,"3,991.39","1,541.08",37.931891,-103.077584,71.05064102564100,39.864102564102600,54.68974358974360,50.27628205128210,4.033205128205130,17.592307692307700,241.38589743589700,17.306410256410300,7.211538461538460
Bent,1879,1330,313,129,0,8,68,3,28,0,8,11,2020,5677,8011,Las Animas,"6,499","3,918.29","1,512.86",73.094,28.222,"3,991.39","1,541.08",37.931891,-103.077584,71.05064102564100,39.864102564102600,54.68974358974360,50.27628205128210,4.033205128205130,17.592307692307700,241.38589743589700,17.306410256410300,7.211538461538460
Crowley,1215,721,215,203,0,0,74,0,0,2,8,25,2017,5514,8025,Ordway,"5,823","2,039.41",787.421,33.43,12.908,"2,072.84",800.329,38.321956,-103.787562,70.74935897435900,40.27756410256410,54.63653846153850,48.31666666666670,4.888076923076920,16.008333333333300,250.95833333333300,16.68846153846150,6.967948717948720
Crowley,1194,790,190,123,0,0,86,0,0,5,8,25,2018,5630,8025,Ordway,"5,823","2,039.41",787.421,33.43,12.908,"2,072.84",800.329,38.321956,-103.787562,70.74935897435900,40.27756410256410,54.63653846153850,48.31666666666670,4.888076923076920,16.008333333333300,250.95833333333300,16.68846153846150,6.967948717948720
Crowley,1301,859,195,138,0,0,105,0,0,4,8,25,2019,5754,8025,Ordway,"5,823","2,039.41",787.421,33.43,12.908,"2,072.84",800.329,38.321956,-103.787562,70.74935897435900,40.27756410256410,54.63653846153850,48.31666666666670,4.888076923076920,16.008333333333300,250.95833333333300,16.68846153846150,6.967948717948720
Crowley,1421,940,249,114,0,0,113,0,0,5,8,25,2020,5733,8025,Ordway,"5,823","2,039.41",787.421,33.43,12.908,"2,072.84",800.329,38.321956,-103.787562,70.74935897435900,40.27756410256410,54.63653846153850,48.31666666666670,4.888076923076920,16.008333333333300,250.95833333333300,16.68846153846150,6.967948717948720
Dolores,707,205,248,66,6,0,182,0,0,0,8,33,2017,1736,8033,Dove Creek,"2,064","2,763.65","1,067.05",2.716,1.049,"2,766.37","1,068.10",37.747602,-108.530383,60.48397435897440,36.662179487179500,48.24166666666670,46.079487179487200,3.6326282051282100,25.5525641025641,277.4314102564100,19.758333333333300,7.852564102564100
Dolores,740,202,280,73,6,0,173,0,6,0,8,33,2018,1841,8033,Dove Creek,"2,064","2,763.65","1,067.05",2.716,1.049,"2,766.37","1,068.10",37.747602,-108.530383,60.48397435897440,36.662179487179500,48.24166666666670,46.079487179487200,3.6326282051282100,25.5525641025641,277.4314102564100,19.758333333333300,7.852564102564100
Dolores,759,225,299,88,0,0,136,0,11,0,8,33,2019,1857,8033,Dove Creek,"2,064","2,763.65","1,067.05",2.716,1.049,"2,766.37","1,068.10",37.747602,-108.530383,60.48397435897440,36.662179487179500,48.24166666666670,46.079487179487200,3.6326282051282100,25.5525641025641,277.4314102564100,19.758333333333300,7.852564102564100
Dolores,930,366,358,52,0,0,127,0,27,0,8,33,2020,1896,8033,Dove Creek,"2,064","2,763.65","1,067.05",2.716,1.049,"2,766.37","1,068.10",37.747602,-108.530383,60.48397435897440,36.662179487179500,48.24166666666670,46.079487179487200,3.6326282051282100,25.5525641025641,277.4314102564100,19.758333333333300,7.852564102564100
