,solarRank,rank1,rank_x,index_x,County,Estimate!!Total!!Utility gas_x,"Estimate!!Total!!Bottled, tank, or LP gas_x",Estimate!!Total!!Electricity_x,"Estimate!!Total!!Fuel oil, kerosene, etc._x",Estimate!!Total!!Coal or coke_x,Estimate!!Total!!Wood_x,Estimate!!Total!!Solar energy_x,Estimate!!Total!!Other fuel_x,Estimate!!Total!!No fuel used_x,summed,Solar Energy Percentage,perCapitaRank,rank_y,index_y,Estimate!!Total,Estimate!!Total!!Utility gas_y,"Estimate!!Total!!Bottled, tank, or LP gas_y",Estimate!!Total!!Electricity_y,"Estimate!!Total!!Fuel oil, kerosene, etc._y",Estimate!!Total!!Coal or coke_y,Estimate!!Total!!Wood_y,Estimate!!Total!!Solar energy_y,Estimate!!Total!!Other fuel_y,Estimate!!Total!!No fuel used_y,State,County Number,Year,Census_Population,FIPS,Water Area km2,Water Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex,Per Capita,totalRank
18,18,18,18,19,Eagle,11378.9,751.9,5465.7,2.8,2.6,382.4,69.5,177.4,14.6,18245.8,0.38090957919082746,55,55,19,18244.6,11378.9,751.9,5465.7,2.8,2.6,382.4,69.5,177.4,14.6,8.0,37.0,2019.0,54431.0,8037.0,18.806,7.261,39.630638,-106.692944,58.2012820512821,31.2275641025641,44.175,51.8570512820513,7.18512820512821,31.7358974358974,246.467307692308,16.2576923076923,6.96153846153846,,73
29,29,29,29,18,Douglas,92308.0,3268.0,22858.5,25.3,6.4,391.4,348.0,268.4,200.6,119674.59999999999,0.2907885215409118,43,43,18,119674.6,92308.0,3268.0,22858.5,25.3,6.4,391.4,348.0,268.4,200.6,8.0,35.0,2019.0,332468.75,8035.0,6.789,2.621,39.326435,-104.926199,62.6096153846154,37.6775641025641,49.6384615384615,45.5160256410256,6.00974358974359,39.2051282051282,277.970512820513,17.2878205128205,7.01923076923077,72.61521240580976,72
52,52,52,52,32,Kit Carson,2146.0,415.8,350.7,0.0,0.0,37.2,0.0,40.3,14.1,3004.1,0.0,19,19,32,3004.1,2146.0,415.8,350.7,0.0,0.0,37.2,0.0,40.3,14.1,8.0,63.0,2019.0,7543.5,8063.0,2.252,0.869,39.30534,-102.603023,67.7596153846154,39.1032051282051,52.7333333333333,52.843589743589696,4.67403846153846,21.5173076923077,234.559615384615,16.6019230769231,6.68589743589744,2.874042747742599,71
35,35,35,35,7,Broomfield,19704.4,447.0,6538.0,0.0,0.0,55.1,67.2,179.4,67.5,27058.600000000002,0.2483498776729025,36,36,7,27058.6,19704.4,447.0,6538.0,0.0,0.0,55.1,67.2,179.4,67.5,8.0,14.0,2019.0,66933.25,8014.0,1.466,0.566,39.953383,-105.052125,65.8782051282051,40.2762820512821,52.743589743589695,47.248717948718,5.18160256410256,24.4570512820513,170.991666666667,14.4961538461538,6.57692307692308,19.140519997483516,71
26,26,26,26,62,Weld,75922.8,7686.9,16295.0,166.6,16.2,1092.3,330.7,750.7,360.4,102621.59999999999,0.3222518456153481,45,45,62,102621.6,75922.8,7686.9,16295.0,166.6,16.2,1092.3,330.7,750.7,360.4,8.0,123.0,2019.0,300396.5,8123.0,76.554,29.558,40.555794,-104.383649,65.5089743589744,35.3128205128205,49.63141025641031,55.4108974358974,4.48730769230769,21.2967948717949,237.366666666667,17.2403846153846,7.03205128205128,132.45170791500772,71
38,38,38,38,22,Fremont,11693.9,2184.9,1846.2,25.3,10.2,1294.1,30.9,96.7,49.0,17231.2,0.17932587399600722,32,32,22,17229.2,11693.9,2184.9,1846.2,25.3,10.2,1294.1,30.9,96.7,49.0,8.0,43.0,2019.0,47162.25,8043.0,2.235,0.863,38.455658,-105.421438,63.5230769230769,39.1192307692308,50.8108974358974,43.9269230769231,7.07820512820513,36.2423076923077,295.796794871795,18.0602564102564,7.49358974358974,11.44528681015466,70
56,56,56,56,61,Washington,785.7,693.4,492.7,4.7,0.0,51.9,0.0,24.7,12.6,2065.7,0.0,13,13,61,2065.7,785.7,693.4,492.7,4.7,0.0,51.9,0.0,24.7,12.6,8.0,121.0,2019.0,4846.5,8121.0,15.207,5.872,39.965413,-103.209605,64.9358974358974,37.9673076923077,50.9307692307692,52.9839743589744,2.35057692307692,22.2980769230769,219.221153846154,16.5346153846154,6.45512820512821,2.136933028214659,69
48,48,48,48,45,Otero,6127.6,406.0,870.6,0.0,0.0,237.1,0.6,36.6,30.0,7708.500000000002,0.007783615489394822,17,17,45,7708.2,6127.6,406.0,870.6,0.0,0.0,237.1,0.6,36.6,30.0,8.0,89.0,2019.0,18304.0,8089.0,20.052,7.742,37.88417,-103.72126,70.9891025641026,37.6423076923077,53.6634615384615,52.1217948717949,2.85801282051282,9.52692307692308,220.590384615385,17.6929487179487,7.20512820512821,2.397647413268013,65
40,40,40,40,21,Elbert,3350.6,3900.7,939.9,6.6,0.0,550.2,12.3,187.2,59.5,9007.0,0.13656045298101477,25,25,21,9006.2,3350.6,3900.7,939.9,6.6,0.0,550.2,12.3,187.2,59.5,8.0,39.0,2019.0,25415.5,8039.0,0.442,0.171,39.310817,-104.117928,62.8448717948718,34.5051282051282,48.1108974358974,49.526923076923104,5.55544871794872,23.6032051282051,289.399358974359,17.1576923076923,7.07692307692308,6.1678076623461715,65
53,53,53,53,50,Prowers,3841.6,372.6,548.6,17.8,0.0,60.7,0.0,25.9,43.1,4910.3,0.0,11,11,50,4910.3,3841.6,372.6,548.6,17.8,0.0,60.7,0.0,25.9,43.1,8.0,99.0,2019.0,12048.25,8099.0,15.353,5.928,37.958181,-102.392161,71.024358974359,38.9474358974359,54.423717948718,52.2032051282051,3.89955128205128,19.1782051282051,236.626923076923,17.3294871794872,7.19230769230769,1.4361568344174616,64
41,41,41,41,42,Montezuma,4025.5,3075.5,1621.4,54.6,58.8,1555.5,11.6,173.8,4.8,10581.499999999998,0.10962528942021453,23,23,42,10579.9,4025.5,3075.5,1621.4,54.6,58.8,1555.5,11.6,173.8,4.8,8.0,83.0,2019.0,25994.0,8083.0,27.517,10.624,37.338025,-108.595786,66.1519230769231,35.1833333333333,50.63653846153849,48.6583333333333,1.97660256410256,18.4275641025641,237.909615384615,16.6865384615385,7.30769230769231,4.644688644688645,64
